,location,total_sqft,bath,price,bhk
1718,Cox Town,1250.0,2.0,95.0,2.0
1719,Cox Town,1280.0,2.0,120.0,2.0
1720,Cox Town,1073.0,2.0,72.0,2.0
1721,Cox Town,1000.0,2.0,58.0,2.0
1722,Cox Town,1200.0,2.0,140.0,2.0
1723,Cunningham Road,5270.0,4.0,1250.0,4.0
1724,Cunningham Road,3875.0,3.0,864.0,3.0
1725,Cunningham Road,3875.0,3.0,800.0,3.0
1726,Cunningham Road,3815.0,3.0,763.0,3.0
1727,Cunningham Road,2880.0,3.0,501.0,3.0
1728,Cunningham Road,3489.0,3.0,662.0,3.0
1729,Cunningham Road,4170.0,3.0,800.0,3.0
1731,Cunningham Road,2700.0,3.0,501.0,3.0
1732,Cunningham Road,7500.0,6.0,1800.0,4.0
1733,Cunningham Road,2880.0,3.0,560.0,3.0
1734,Dasanapura,708.0,2.0,37.0,2.0
1735,Dasanapura,708.0,1.0,40.0,2.0
1736,Dasanapura,965.0,2.0,42.5,2.0
1738,Dasanapura,814.0,2.0,42.0,2.0
1739,Dasanapura,1163.0,2.0,65.0,2.0
1740,Dasanapura,1286.0,2.0,68.0,3.0
1741,Dasanapura,708.0,2.0,31.15,2.0
1742,Dasanapura,708.0,1.0,41.0,1.0
1743,Dasanapura,814.0,2.0,43.7,2.0
1744,Dasarahalli,1295.0,2.0,65.0,2.0
1746,Dasarahalli,1150.0,2.0,70.0,2.0
1747,Dasarahalli,2100.0,3.0,120.0,3.0
1748,Dasarahalli,1220.0,2.0,52.0,2.0
1749,Dasarahalli,1375.0,2.0,60.0,2.0
1750,Dasarahalli,1333.0,2.0,78.56,2.0
1751,Dasarahalli,1220.0,2.0,62.0,2.0
1752,Devanahalli,3210.0,2.0,192.0,4.0
1753,Devanahalli,1260.0,2.0,66.78,2.0
1754,Devanahalli,1282.0,2.0,68.52,3.0
1755,Devanahalli,1360.0,2.0,65.0,2.0
1757,Devanahalli,1408.0,2.0,85.0,2.0
1758,Devanahalli,1010.0,2.0,51.0,2.0
1759,Devanahalli,1080.0,2.0,53.35,2.0
1760,Devanahalli,2400.0,5.0,100.0,5.0
1763,Devanahalli,1174.0,2.0,59.0,2.0
1764,Devanahalli,3752.5,2.0,177.115,2.0
1765,Devanahalli,658.0,1.0,34.0,1.0
1766,Devanahalli,658.0,1.0,26.91,1.0
1767,Devanahalli,698.5,1.0,28.57,1.0
1768,Devanahalli,1080.0,2.0,52.0,2.0
1769,Devanahalli,1700.0,3.0,88.2,3.0
1770,Devanahalli,1498.0,3.0,79.15,3.0
1771,Devanahalli,1466.0,3.0,77.59,3.0
1772,Devanahalli,775.0,1.0,39.0,1.0
1773,Devanahalli,1020.0,2.0,49.87,1.0
1775,Devanahalli,1550.0,3.0,85.0,3.0
1777,Devanahalli,1340.0,2.0,65.0,2.0
1778,Devanahalli,2125.0,3.0,107.0,3.0
1781,Devanahalli,658.0,1.0,26.91,1.0
1783,Devanahalli,1010.0,2.0,58.0,2.0
1786,Devanahalli,1075.0,2.0,52.57,1.0
1787,Dodda Nekkundi,1260.0,2.0,55.0,2.0
1788,Dodda Nekkundi,850.0,2.0,28.0,2.0
1789,Dodda Nekkundi,1390.0,2.0,60.0,2.0
1790,Dodda Nekkundi,1804.0,3.0,121.0,3.0
1791,Dodda Nekkundi,1080.0,2.0,50.0,2.0
1792,Dodda Nekkundi,1999.0,3.0,132.0,3.0
1793,Dodda Nekkundi,1100.0,2.0,48.0,2.0
1794,Dodda Nekkundi,1999.0,3.0,135.0,3.0
1795,Dodda Nekkundi,1100.0,2.0,41.15,2.0
1796,Dodda Nekkundi,1252.0,2.0,71.0,3.0
1797,Dodda Nekkundi,1155.0,2.0,46.0,2.0
1798,Dodda Nekkundi,1128.0,2.0,45.0,2.0
1799,Dodda Nekkundi,1148.0,2.0,56.0,2.0
1801,Dodda Nekkundi,1145.0,2.0,46.5,2.0
1802,Dodda Nekkundi,1829.0,3.0,125.0,3.0
1803,Dodda Nekkundi,1100.0,2.0,41.16,2.0
1804,Dodda Nekkundi,1100.0,2.0,46.75,2.0
1805,Dodda Nekkundi,1315.0,2.0,50.0,2.0
1806,Dodda Nekkundi,1135.0,2.0,58.0,2.0
1807,Dodda Nekkundi,1100.0,2.0,41.18,2.0
1808,Dodda Nekkundi,1370.0,2.0,60.0,2.0
1809,Dodda Nekkundi,1200.0,2.0,71.0,2.0
1810,Dodda Nekkundi,1585.0,2.0,79.0,3.0
1811,Dodda Nekkundi,1005.0,2.0,45.0,2.0
1812,Dodda Nekkundi,1264.0,2.0,52.0,2.0
1813,Doddaballapur,1690.0,3.0,80.0,4.0
1814,Doddaballapur,4200.0,4.0,325.0,4.0
1815,Doddaballapur,3876.0,3.0,300.0,3.0
1816,Doddaballapur,2776.0,4.0,195.0,3.0
1817,Doddaballapur,2440.0,3.0,142.0,3.0
1818,Doddaballapur,2400.0,3.0,200.0,4.0
1819,Doddaballapur,654.0,1.0,49.0,1.0
1820,Doddaballapur,3206.0,5.0,270.0,4.0
1821,Doddakallasandra,1010.0,2.0,40.39,2.0
1826,Doddakallasandra,1010.0,2.0,40.39,2.0
1827,Doddakallasandra,1072.0,2.0,42.87,2.0
1828,Doddakallasandra,1010.0,2.0,40.4,2.0
1829,Doddakallasandra,1010.0,2.0,41.0,2.0
1830,Doddakallasandra,1072.0,2.0,42.87,2.0
1831,Doddathoguru,970.0,2.0,33.0,2.0
1832,Doddathoguru,1050.0,2.0,32.0,2.0
1833,Doddathoguru,850.0,2.0,25.0,2.0
1834,Doddathoguru,1030.0,2.0,42.0,2.0
1835,Doddathoguru,1549.0,3.0,65.0,3.0
1837,Doddathoguru,550.0,1.0,17.0,1.0
1838,Doddathoguru,1015.0,2.0,33.5,2.0
1839,Doddathoguru,1104.0,2.0,39.0,2.0
1840,Doddathoguru,915.0,2.0,32.0,2.0
1841,Doddathoguru,750.0,1.0,25.5,1.0
1842,Doddathoguru,1595.0,3.0,62.0,3.0
1843,Doddathoguru,855.0,2.0,32.0,2.0
1844,Doddathoguru,1105.0,2.0,50.0,2.0
1845,Doddathoguru,925.0,2.0,30.0,2.0
1847,Doddathoguru,1208.0,3.0,45.0,3.0
1848,Doddathoguru,1100.0,2.0,50.0,2.0
1849,Doddathoguru,940.0,2.0,32.9,2.0
1850,Doddathoguru,1382.0,3.0,65.0,3.0
1851,Doddathoguru,1107.0,2.0,44.0,2.0
1852,Doddathoguru,907.0,2.0,40.0,2.0
1853,Doddathoguru,1783.0,3.0,85.0,3.0
1854,Doddathoguru,550.0,1.0,17.0,1.0
1855,Domlur,1540.0,3.0,90.0,3.0
1856,Domlur,1875.0,2.0,150.0,3.0
1857,Domlur,1429.0,3.0,86.0,3.0
1858,Domlur,640.0,1.0,55.0,1.0
1859,Domlur,1050.0,2.0,85.0,2.0
1860,Domlur,1800.0,3.0,150.0,3.0
1861,Domlur,1720.0,3.0,135.0,3.0
1862,Domlur,1950.0,3.0,165.0,3.0
1863,Domlur,2180.0,3.0,285.0,3.0
1864,Domlur,650.0,1.0,70.0,1.0
1865,Domlur,780.0,1.0,70.0,1.0
1866,Domlur,2180.0,3.0,285.0,3.0
1867,Domlur,1740.0,3.0,120.0,3.0
1868,Domlur,1695.0,3.0,125.0,3.0
1869,Domlur,1246.0,2.0,95.0,2.0
1870,Domlur,2100.0,3.0,145.0,3.0
1871,Domlur,1276.0,2.0,80.0,2.0
1872,Domlur,1850.0,3.0,180.0,3.0
1873,Domlur,2955.0,3.0,235.0,3.0
1874,Domlur,1650.0,3.0,180.0,3.0
1875,Dommasandra,805.0,2.0,22.14,2.0
1877,Dommasandra,1267.0,3.0,56.0,3.0
1878,Dommasandra,1200.0,2.0,50.0,2.0
1879,Dommasandra,2700.0,3.0,68.0,4.0
1881,Dommasandra,1153.0,2.0,43.5,2.0
1882,Dommasandra,1500.0,2.0,40.0,2.0
1883,Dommasandra,1090.0,2.0,43.5,2.0
1884,Dommasandra,850.0,2.0,25.4,2.0
1885,Dommasandra,674.0,1.0,19.9,2.0
1886,Dommasandra,999.0,2.0,32.9,2.0
1887,EPIP Zone,1499.0,5.0,102.0,3.0
1888,EPIP Zone,1285.0,2.0,82.0,2.0
1889,EPIP Zone,2330.0,3.0,162.0,3.0
1890,EPIP Zone,1330.0,2.0,92.5,2.0
1891,EPIP Zone,1330.0,2.0,86.98,2.0
1892,EPIP Zone,1330.0,2.0,93.36,2.0
1894,EPIP Zone,1500.0,3.0,102.0,3.0
1895,EPIP Zone,1280.0,2.0,69.0,2.0
1896,EPIP Zone,1125.0,2.0,65.0,2.0
1897,EPIP Zone,1734.0,3.0,125.0,3.0
1899,EPIP Zone,1343.0,2.0,86.0,2.0
1900,EPIP Zone,2350.0,4.0,163.0,3.0
1901,EPIP Zone,1860.0,3.0,130.0,3.0
1902,EPIP Zone,2210.0,3.0,165.0,3.0
1903,EPIP Zone,2710.0,3.0,177.0,3.0
1906,Electronic City,1025.0,2.0,47.0,3.0
1909,Electronic City,1500.0,2.0,64.5,3.0
1910,Electronic City,1060.0,2.0,60.0,2.0
1911,Electronic City,1152.0,2.0,64.5,2.0
1913,Electronic City,770.0,1.0,36.0,2.0
1914,Electronic City,1070.0,2.0,52.0,2.0
1915,Electronic City,1025.0,2.0,46.0,2.0
1916,Electronic City,589.0,1.0,27.0,1.0
1918,Electronic City,910.0,2.0,40.0,2.0
1919,Electronic City,1108.0,2.0,63.0,2.0
1920,Electronic City,1128.0,2.0,65.0,2.0
1921,Electronic City,1800.0,3.0,95.0,3.0
1922,Electronic City,630.0,1.0,34.65,1.0
1923,Electronic City,1128.0,2.0,63.0,2.0
1924,Electronic City,1599.0,3.0,99.0,3.0
1927,Electronic City,1070.0,2.0,55.0,2.0
1928,Electronic City,940.0,2.0,41.0,2.0
1930,Electronic City,1128.0,2.0,68.75,2.0
1931,Electronic City,1342.0,2.0,73.3,2.0
1932,Electronic City,1360.0,2.0,71.0,3.0
1934,Electronic City,1265.0,2.0,56.93,2.0
1935,Electronic City,1691.0,2.0,102.0,3.0
1936,Electronic City,1128.0,2.0,65.49,2.0
1939,Electronic City,1070.0,2.0,56.1,2.0
1940,Electronic City,2000.0,4.0,120.0,4.0
1941,Electronic City,890.0,2.0,45.0,2.0
1942,Electronic City,1128.0,2.0,65.65,2.0
1943,Electronic City,865.0,2.0,42.0,2.0
1945,Electronic City,910.0,2.0,42.0,2.0
1947,Electronic City,1360.0,2.0,75.0,3.0
1948,Electronic City,770.0,1.0,40.0,2.0
1949,Electronic City,1128.0,2.0,64.0,2.0
1950,Electronic City,1070.0,2.0,54.0,2.0
1952,Electronic City,1571.0,3.0,89.0,3.0
1953,Electronic City,1111.0,3.0,50.0,3.0
1954,Electronic City,870.0,2.0,39.5,2.0
1956,Electronic City,1374.0,2.0,72.0,3.0
1958,Electronic City,1128.0,2.0,65.35,2.0
1959,Electronic City,1128.0,2.0,65.0,2.0
1960,Electronic City,755.0,1.0,34.0,2.0
1964,Electronic City,1563.0,3.0,91.84,3.0
1965,Electronic City,1652.0,3.0,70.0,3.0
1967,Electronic City,1025.0,2.0,54.5,2.0
1968,Electronic City,1070.0,2.0,46.0,2.0
1969,Electronic City,1350.0,3.0,58.0,3.0
1972,Electronic City,1700.0,3.0,75.0,3.0
1974,Electronic City,1128.0,2.0,68.0,2.0
1975,Electronic City,700.0,1.0,35.0,1.0
1976,Electronic City,1360.0,2.0,70.5,3.0
1978,Electronic City,1571.0,3.0,105.0,3.0
1982,Electronic City,1600.0,3.0,104.0,3.0
1984,Electronic City,1500.0,2.0,100.0,3.0
1988,Electronic City,1152.0,2.0,65.0,2.0
1989,Electronic City,1070.0,2.0,60.0,2.0
1990,Electronic City,1128.0,2.0,65.5,2.0
1991,Electronic City,1200.0,2.0,59.0,2.0
1992,Electronic City,1152.0,2.0,65.75,2.0
1994,Electronic City,1070.0,2.0,55.0,2.0
1995,Electronic City,1060.0,2.0,58.0,2.0
1996,Electronic City,1025.0,2.0,54.1,2.0
2001,Electronic City,1500.0,2.0,78.0,3.0
2002,Electronic City,1213.0,2.0,59.32,2.0
2003,Electronic City,1575.0,3.0,90.0,3.0
2004,Electronic City,1449.0,3.0,100.0,3.0
2006,Electronic City,1125.0,2.0,58.0,2.0
2008,Electronic City,1575.0,3.0,101.0,3.0
2010,Electronic City,550.0,1.0,12.0,1.0
2011,Electronic City,919.0,2.0,40.0,2.0
2012,Electronic City,1500.0,2.0,78.25,3.0
2013,Electronic City,1363.0,2.0,79.0,2.0
2016,Electronic City,1108.0,2.0,67.15,2.0
2018,Electronic City,1128.0,2.0,65.7,2.0
2020,Electronic City,1060.0,2.0,51.0,2.0
2022,Electronic City,1650.0,3.0,100.0,3.0
2024,Electronic City,1025.0,2.0,49.0,2.0
2026,Electronic City,1449.0,3.0,90.0,3.0
2028,Electronic City,1070.0,2.0,58.0,2.0
2029,Electronic City,1210.0,2.0,54.0,2.0
2030,Electronic City,1500.0,2.0,75.0,3.0
2032,Electronic City,1070.0,2.0,52.0,2.0
2033,Electronic City,2435.0,4.0,119.0,4.0
2038,Electronic City,1073.0,2.0,60.0,2.0
2039,Electronic City,1500.0,2.0,78.0,3.0
2040,Electronic City,1070.0,2.0,47.0,2.0
2041,Electronic City,1296.0,2.0,65.0,2.0
2042,Electronic City,1140.0,2.0,70.93,2.0
2048,Electronic City,2093.0,4.0,104.0,4.0
2049,Electronic City,1025.0,2.0,53.9,2.0
2050,Electronic City,940.0,2.0,54.0,2.0
2051,Electronic City,435.0,1.0,21.0,1.0
2052,Electronic City,1500.0,2.0,77.5,3.0
2053,Electronic City,1631.0,3.0,80.0,3.0
2054,Electronic City,1355.0,2.0,67.0,2.0
2057,Electronic City,435.0,1.0,22.0,1.0
2059,Electronic City,1039.0,2.0,50.0,2.0
2060,Electronic City,770.0,1.0,39.9,2.0
2062,Electronic City,1128.0,2.0,64.0,2.0
2063,Electronic City,605.0,1.0,13.31,1.0
2065,Electronic City,530.0,1.0,13.5,1.0
2066,Electronic City,1070.0,2.0,53.0,2.0
2069,Electronic City,1571.0,3.0,83.0,3.0
2071,Electronic City,1350.0,3.0,66.0,3.0
2072,Electronic City,1652.0,3.0,110.0,3.0
2076,Electronic City,1128.0,2.0,65.58,2.0
2077,Electronic City,635.0,1.0,28.0,1.0
2078,Electronic City,1128.0,2.0,65.4,2.0
2081,Electronic City,1355.0,2.0,72.9,2.0
2085,Electronic City,770.0,1.0,35.0,2.0
2087,Electronic City,865.0,2.0,40.0,2.0
2090,Electronic City,1108.0,2.0,63.0,2.0
2091,Electronic City,630.0,1.0,40.5,1.0
2094,Electronic City,605.0,1.0,22.0,1.0
2096,Electronic City,1070.0,2.0,48.0,2.0
2098,Electronic City,1360.0,2.0,70.0,3.0
2099,Electronic City,635.0,1.0,28.0,1.0
2100,Electronic City,1128.0,2.0,65.45,2.0
2101,Electronic City,890.0,2.0,40.0,2.0
2106,Electronic City,1360.0,2.0,58.0,3.0
2109,Electronic City,630.0,1.0,33.7,1.0
2113,Electronic City,1400.0,3.0,90.0,3.0
2114,Electronic City,1287.0,3.0,55.0,3.0
2115,Electronic City,1258.0,2.0,85.5,2.0
2116,Electronic City,1386.0,2.0,85.0,2.0
2117,Electronic City,1025.0,2.0,50.0,2.0
2119,Electronic City,1070.0,2.0,55.0,2.0
2120,Electronic City,1342.0,2.0,72.0,2.0
2121,Electronic City,1275.0,3.0,70.0,3.0
2122,Electronic City,770.0,1.0,38.0,2.0
2127,Electronic City,1644.0,3.0,92.59,3.0
2128,Electronic City,1250.0,2.0,62.0,2.0
2131,Electronic City,418.0,1.0,12.0,1.0
2132,Electronic City,1128.0,2.0,64.8,2.0
2135,Electronic City,1060.0,2.0,55.0,2.0
2136,Electronic City,710.0,1.0,40.42,1.0
2139,Electronic City,1275.0,3.0,63.43,3.0
2140,Electronic City,1518.0,3.0,75.0,3.0
2141,Electronic City,1090.0,2.0,31.48,1.0
2144,Electronic City,1060.0,2.0,55.0,2.0
2146,Electronic City,1353.0,2.0,75.0,2.0
2148,Electronic City,1128.0,2.0,67.0,2.0
2149,Electronic City,1070.0,2.0,57.0,2.0
2150,Electronic City,1700.0,3.0,90.0,3.0
2152,Electronic City,750.0,1.0,35.0,1.0
2153,Electronic City,1210.0,2.0,55.0,2.0
2154,Electronic City,1070.0,2.0,60.0,2.0
2159,Electronic City,1615.0,3.0,97.0,3.0
2161,Electronic City,1221.0,2.0,68.0,2.0
2163,Electronic City,1500.0,3.0,73.0,3.0
2164,Electronic City,995.0,2.0,48.0,2.0
2165,Electronic City,1342.0,2.0,90.0,2.0
2167,Electronic City,1128.0,2.0,63.5,2.0
2168,Electronic City,589.0,1.0,29.0,1.0
2171,Electronic City,1575.0,3.0,94.5,3.0
2172,Electronic City,1070.0,2.0,48.0,2.0
2173,Electronic City,1025.0,2.0,54.0,2.0
2174,Electronic City,1500.0,2.0,70.0,3.0
2175,Electronic City,1500.0,2.0,64.5,3.0
2177,Electronic City,2093.0,4.0,134.0,4.0
2179,Electronic City,1355.0,2.0,73.0,2.0
2180,Electronic City,1360.0,2.0,64.99,3.0
2181,Electronic City,1060.0,2.0,52.0,2.0
2182,Electronic City Phase II,1056.0,2.0,39.07,2.0
2183,Electronic City Phase II,1020.0,2.0,30.6,2.0
2184,Electronic City Phase II,1069.0,2.0,45.0,2.0
2185,Electronic City Phase II,630.0,1.0,28.35,1.0
2187,Electronic City Phase II,1000.0,2.0,25.0,2.0
2188,Electronic City Phase II,1090.0,2.0,28.34,2.0
2189,Electronic City Phase II,2225.0,4.0,98.88,4.0
2191,Electronic City Phase II,775.0,2.0,38.0,2.0
2192,Electronic City Phase II,1266.0,2.0,59.0,2.0
2193,Electronic City Phase II,1000.0,2.0,28.88,2.0
2196,Electronic City Phase II,972.0,2.0,44.0,2.0
2198,Electronic City Phase II,1031.0,2.0,55.0,2.0
2199,Electronic City Phase II,1003.0,2.0,40.6,2.0
2200,Electronic City Phase II,1031.0,2.0,56.35,2.0
2202,Electronic City Phase II,1395.0,2.0,62.78,3.0
2203,Electronic City Phase II,1160.0,2.0,33.5,2.0
2204,Electronic City Phase II,1065.0,2.0,30.75,2.0
2205,Electronic City Phase II,1219.0,2.0,61.25,2.0
2207,Electronic City Phase II,1000.0,2.0,28.88,2.0
2208,Electronic City Phase II,1790.0,3.0,100.0,3.0
2209,Electronic City Phase II,769.0,2.0,40.0,2.0
2211,Electronic City Phase II,900.0,2.0,32.5,2.0
2214,Electronic City Phase II,993.0,2.0,50.0,3.0
2215,Electronic City Phase II,1418.0,3.0,52.47,3.0
2216,Electronic City Phase II,1070.0,2.0,45.0,2.0
2219,Electronic City Phase II,1140.0,2.0,33.06,2.0
2220,Electronic City Phase II,1089.0,2.0,32.67,2.0
2221,Electronic City Phase II,1031.0,2.0,55.0,2.0
2222,Electronic City Phase II,1253.0,2.0,65.8,2.0
2224,Electronic City Phase II,1160.0,2.0,33.5,2.0
2225,Electronic City Phase II,975.0,2.0,45.0,3.0
2226,Electronic City Phase II,6000.0,4.0,260.0,4.0
2227,Electronic City Phase II,1116.0,2.0,37.0,2.0
2228,Electronic City Phase II,1125.0,2.0,29.25,2.0
2229,Electronic City Phase II,1000.0,2.0,28.88,2.0
2230,Electronic City Phase II,1000.0,2.0,28.88,2.0
2231,Electronic City Phase II,1000.0,2.0,28.88,2.0
2232,Electronic City Phase II,1165.0,2.0,30.29,2.0
2233,Electronic City Phase II,3550.0,2.0,167.5,4.0
2234,Electronic City Phase II,1031.0,2.0,53.0,2.0
2236,Electronic City Phase II,1065.0,2.0,30.88,2.0
2238,Electronic City Phase II,1549.0,3.0,80.0,3.0
2239,Electronic City Phase II,1065.0,2.0,56.13,2.0
2241,Electronic City Phase II,920.0,2.0,26.0,2.0
2242,Electronic City Phase II,1140.0,2.0,33.84,2.0
2243,Electronic City Phase II,1219.0,2.0,61.26,2.0
2244,Electronic City Phase II,1252.0,2.0,65.0,3.0
2245,Electronic City Phase II,1125.0,2.0,32.49,2.0
2247,Electronic City Phase II,1286.0,2.0,69.0,2.0
2249,Electronic City Phase II,1140.0,2.0,32.92,2.0
2250,Electronic City Phase II,1116.0,2.0,40.0,2.0
2251,Electronic City Phase II,1150.0,3.0,46.0,3.0
2252,Electronic City Phase II,1192.0,2.0,47.0,3.0
2254,Electronic City Phase II,1020.0,2.0,32.0,2.0
2255,Electronic City Phase II,1900.0,3.0,97.0,4.0
2256,Electronic City Phase II,1020.0,2.0,27.43,2.0
2257,Electronic City Phase II,1025.0,2.0,26.65,2.0
2258,Electronic City Phase II,1020.0,2.0,29.45,2.0
2259,Electronic City Phase II,1000.0,2.0,28.88,2.0
2261,Electronic City Phase II,1140.0,2.0,28.5,2.0
2262,Electronic City Phase II,1125.0,2.0,32.49,2.0
2263,Electronic City Phase II,1200.0,2.0,34.65,2.0
2264,Electronic City Phase II,1160.0,2.0,52.2,2.0
2265,Electronic City Phase II,1244.0,2.0,55.0,2.0
2266,Electronic City Phase II,1160.0,2.0,33.51,2.0
2269,Electronic City Phase II,972.0,2.0,40.0,2.0
2270,Electronic City Phase II,1160.0,2.0,33.51,2.0
2272,Electronic City Phase II,1090.0,2.0,31.48,2.0
2273,Electronic City Phase II,1140.0,2.0,32.92,2.0
2274,Electronic City Phase II,650.0,1.0,35.0,1.0
2275,Electronic City Phase II,1155.0,2.0,57.0,2.0
2276,Electronic City Phase II,1800.0,3.0,92.0,3.0
2277,Electronic City Phase II,1300.0,2.0,28.0,2.0
2278,Electronic City Phase II,1160.0,2.0,33.5,2.0
2279,Electronic City Phase II,1025.0,2.0,29.6,2.0
2280,Electronic City Phase II,829.0,2.0,22.8,2.0
2281,Electronic City Phase II,2187.5,4.0,105.0,4.0
2282,Electronic City Phase II,1252.0,2.0,67.0,2.0
2284,Electronic City Phase II,1125.0,2.0,32.63,2.0
2285,Electronic City Phase II,1140.0,2.0,34.0,2.0
2288,Electronic City Phase II,1252.0,2.0,65.0,3.0
2289,Electronic City Phase II,1135.0,2.0,46.0,2.0
2290,Electronic City Phase II,1305.0,3.0,65.0,3.0
2291,Electronic City Phase II,1165.0,2.0,33.64,2.0
2293,Electronic City Phase II,1336.0,2.0,50.35,3.0
2294,Electronic City Phase II,575.0,1.0,16.75,1.0
2295,Electronic City Phase II,925.0,2.0,49.82,3.0
2296,Electronic City Phase II,1065.0,2.0,30.76,2.0
2297,Electronic City Phase II,1065.0,2.0,30.75,2.0
2298,Electronic City Phase II,1140.0,2.0,33.06,2.0
2299,Electronic City Phase II,911.0,2.0,26.5,2.0
2300,Electronic City Phase II,1200.0,2.0,34.65,2.0
2301,Electronic City Phase II,1031.0,2.0,54.48,2.0
2305,Electronics City Phase 1,1475.0,3.0,78.29,3.0
2306,Electronics City Phase 1,1490.0,3.0,78.8,3.0
2307,Electronics City Phase 1,1113.27,2.0,53.0,2.0
2308,Electronics City Phase 1,1490.0,3.0,84.0,3.0
2315,Electronics City Phase 1,1015.0,2.0,56.0,2.0
2317,Electronics City Phase 1,1515.0,2.0,80.91,3.0
2318,Electronics City Phase 1,995.0,2.0,46.0,2.0
2319,Electronics City Phase 1,1555.0,2.0,82.0,3.0
2320,Electronics City Phase 1,1340.0,2.0,75.0,2.0
2321,Electronics City Phase 1,1124.0,2.0,55.0,3.0
2322,Electronics City Phase 1,1175.0,2.0,57.0,2.0
2323,Electronics City Phase 1,755.0,1.0,42.41,1.0
2324,Electronics City Phase 1,580.0,1.0,27.0,1.0
2325,Electronics City Phase 1,940.0,2.0,49.0,2.0
2326,Electronics City Phase 1,1335.0,2.0,67.0,2.0
2327,Electronics City Phase 1,1113.12,2.0,55.0,2.0
2329,Electronics City Phase 1,1350.0,3.0,71.0,3.0
2331,Electronics City Phase 1,995.0,2.0,49.8,2.0
2332,Electronics City Phase 1,635.0,1.0,26.0,1.0
2333,Electronics City Phase 1,1190.0,2.0,68.0,2.0
2335,Electronics City Phase 1,1450.0,3.0,72.54,3.0
2336,Electronics City Phase 1,360.0,1.0,16.9,1.0
2337,Electronics City Phase 1,638.0,1.0,32.0,1.0
2338,Electronics City Phase 1,1175.0,2.0,64.98,2.0
2339,Electronics City Phase 1,585.0,1.0,21.0,1.0
2340,Electronics City Phase 1,1200.0,2.0,59.76,2.0
2341,Electronics City Phase 1,1145.0,2.0,54.0,2.0
2342,Electronics City Phase 1,1125.0,2.0,65.0,2.0
2344,Electronics City Phase 1,1550.0,2.0,82.0,3.0
2346,Electronics City Phase 1,865.0,2.0,40.0,2.0
2350,Electronics City Phase 1,1800.0,3.0,93.0,3.0
2351,Electronics City Phase 1,1314.0,2.0,60.0,2.0
2352,Electronics City Phase 1,1170.0,2.0,62.0,2.0
2353,Electronics City Phase 1,1450.0,3.0,79.0,3.0
2354,Electronics City Phase 1,940.0,2.0,48.0,2.0
2355,Electronics City Phase 1,940.0,2.0,44.0,2.0
2356,Electronics City Phase 1,1300.0,2.0,67.0,2.0
2357,Electronics City Phase 1,1028.0,2.0,51.0,2.0
2359,Electronics City Phase 1,1205.0,2.0,60.0,2.0
2361,Electronics City Phase 1,1305.0,2.0,67.0,2.0
2362,Electronics City Phase 1,755.0,1.0,30.12,1.0
2363,Electronics City Phase 1,1175.0,2.0,60.0,2.0
2364,Frazer Town,1700.0,3.0,180.0,3.0
2365,Frazer Town,1305.0,3.0,95.45,3.0
2366,Frazer Town,1870.0,3.0,185.0,3.0
2367,Frazer Town,1750.0,3.0,150.0,3.0
2369,Frazer Town,2000.0,3.0,200.0,3.0
2370,Frazer Town,3500.0,4.0,330.0,3.0
2371,Frazer Town,2350.0,4.0,285.0,3.0
2372,Frazer Town,1550.0,2.0,140.0,2.0
2373,Frazer Town,1900.0,4.0,145.0,3.0
2374,Frazer Town,2560.0,3.0,265.0,3.0
2375,Frazer Town,2400.0,3.0,260.0,3.0
2376,Frazer Town,2560.0,3.0,288.0,3.0
2377,Frazer Town,3436.0,5.0,341.0,4.0
2379,Frazer Town,1315.0,2.0,140.0,2.0
2380,Frazer Town,1706.0,3.0,154.0,3.0
2381,Frazer Town,2079.0,3.0,220.0,3.0
2382,Frazer Town,3435.0,2.0,341.0,4.0
2383,Frazer Town,3436.0,5.0,345.0,4.0
2384,Frazer Town,3100.0,3.0,400.0,3.0
2385,Frazer Town,5400.0,3.0,400.0,3.0
2386,Frazer Town,1180.0,2.0,105.0,2.0
2387,Frazer Town,2900.0,4.0,325.0,4.0
2388,Frazer Town,1870.0,3.0,180.0,3.0
2389,Frazer Town,896.0,1.0,100.0,1.0
2390,Frazer Town,1420.0,2.0,120.0,2.0
2391,GM Palaya,1820.0,2.0,86.0,3.0
2392,GM Palaya,1225.0,2.0,47.0,2.0
2393,GM Palaya,1140.0,2.0,48.95,2.0
2394,GM Palaya,1315.0,2.0,65.0,3.0
2395,GM Palaya,1315.0,3.0,65.0,3.0
2396,GM Palaya,1315.0,3.0,64.0,3.0
2397,GM Palaya,1735.0,3.0,70.0,3.0
2398,GM Palaya,1643.0,2.0,70.0,3.0
2399,Garudachar Palya,1325.0,2.0,60.8,3.0
2400,Garudachar Palya,1060.0,2.0,48.7,2.0
2401,Garudachar Palya,1150.0,2.0,52.75,2.0
2402,Garudachar Palya,1295.0,2.0,59.5,3.0
2403,Garudachar Palya,1320.0,2.0,60.6,3.0
2404,Garudachar Palya,1295.0,2.0,59.5,3.0
2405,Garudachar Palya,1150.0,2.0,52.8,2.0
2406,Garudachar Palya,1150.0,2.0,52.8,2.0
2407,Garudachar Palya,1060.0,2.0,48.5,2.0
2408,Garudachar Palya,1150.0,2.0,52.5,2.0
2409,Garudachar Palya,1325.0,2.0,60.8,3.0
2410,Garudachar Palya,1060.0,2.0,48.66,2.0
2411,Garudachar Palya,1150.0,2.0,52.0,2.0
